Real Player;6.0.1.206;REALPLAY.EXE;223232;Real Networks
Referee;Unknown;REFEREE.EXE;0;Persoft
Reflex;Unknown;REFLEX.EXE;0;Borland/Inprise
Reference Set;Unknown;REFSET.EXE;0;Reference Software
RegClean - Windows Registry Analysis and Correctio;Unknown;RegClean.exe;0;Microsoft Technical Support, Microsoft Corporation
RegClean - Windows Registry Analysis and Correctio;4.1a, build 7364.1;RegClean.exe;837632;Microsoft Technical Support, Microsoft Corporation
RegCleaner;Unknown;RegCleanr.exe;0;Microsoft Technical Support, Microsoft Corporation
RegCleaner;4.3.0.780;RegCleanr.exe;773632;Microsoft Technical Support, Microsoft Corporation
Win32 Remote Registry Server;4.00.950;regserv.exe;33792;Microsoft Corporation
regsvrex.exe;Unknown;regsvrex.exe;16452;OpenOffice
Reminders!;Unknown;REMINDER.EXE;0;Pop Computer Products
Report Writer;Unknown;reporter.exe;0;Clarion
Certus Lan;Unknown;RESDNT-L.EXE;0;Foundationware
Certus;Unknown;RESIDENT.EXE;0;Foundationware
Rapidfile;Unknown;RF.COM;0;Borland/Inprise
Ronstadts Financials Pro.;Unknown;RFPRO.EXE;0;Lord Publishing
Reflection FTP Client;9.0.132;rftpc.exe;294912;WRQ
WordPerfect Rhymer;Unknown;RHYME.COM;0;Corel Corp.
Rightwriter;Unknown;RIGHT.EXE;0;Rightsoft/macmillan
Risk;Unknown;RISK.EXE;0;True Basic
Reflection Links Client View Launcher;9.0.90.00;RLinks.exe;32768;WRQ
Reflection Ping;9.0.31;rnPing.exe;90112;WRQ
Rolodex Live;Unknown;ROLODEX.COM;0;DacEasy
Together;Unknown;ROSE2.EXE;0;Coordination Technology
WordPerfect Office;Unknown;RPREMOVE.EXE;0;Corel Corp.
Report Manager;Unknown;RPTGENOI.EXE;0;Best Programs
R&R Report Writer;Unknown;RR.EXE;0;Concentric
ReadRight;Unknown;RR_DMR.EXE;0;OCR Systems
Client Access Data Transfer from AS/400 to PC (bat;Unknown;rtopcb.exe;0;IBM Corporation
Reflection TimeSync Application;9.0.26;rts.exe;32768;WRQ
Rumba;Unknown;RUMBAWSF.EXE;0;Wall Data Incorporated
Rumba;95;RUMBAWSF.EXE;8192;Wall Data Incorporated
Rumba 95;Unknown;RUMBAWSF.EXE;8192;Wall Data Incorporated
Reflection Virtual Desktop;9.00.20;Rvd.exe;86016;WRQ
RealPlayer;Unknown;RVPLAYER.EXE;0;Real Networks
Real Player v4.01;Unknown;RVPLAYER.EXE;110592;Progressive Networks
RealPlayer;4.01;RVPLAYER.EXE;110592;Real Networks
DOS Rx;Unknown;RX.EXE;0;Timeworks
Street Atlas USA;Unknown;sa5.exe;0;DeLorme
Street Atlas USA;8;sa8.exe;1416704;DeLorme
SAFE;6.2;safe.exe;3887104;Computers and Structures
Civil Sys-SanSys;Unknown;SANSYS.EXE;0;Civil Entineering
SAPGUI for Win32;4520.2.0.8025;SAPGUI.EXE;674816;Sap
SAP System Logon Application;4.0.3.6707;SAPLOGON.EXE;31744;Sap
Co/session;Unknown;SAPPLICA.EXE;0;Triton Technologies
Sargon 4;Unknown;SARGON4.EXE;0;Spinnaker Software Corp.
Sophos SAVAdmin;2.20;SAVADMIN.EXE;0;Sophos
SoundBlaster Card;Unknown;SB16SET.EXE;0;Creative Technology Ltd
Backup Exec Desktop;4.05.01b;sbwin32.exe;598016;VERITAS Software Corporation
SimCity 2000;Unknown;SC2000.EXE;0;Maxis
SuperCalc;Unknown;SC4.COM;0;Computer Associates
SuperCalc 5;Unknown;SC5.COM;0;Computer Associates
Second Copy 97;5.3.1.96;sc97.exe;779264;Centered Systems
VirusScan;Unknown;SCAN.EXE;0;McAfee
Virus Scan;Unknown;SCAN.EXE;0;Network Associates
VirusScan for Windows;Unknown;scan32.exe;0;McAfee
Scan for Windows 95;Unknown;SCAN95.EXE;0;McAfee
VirusScan for Windows;Unknown;SCAN95.EXE;0;McAfee
VirusScan for Windows 95/98;Unknown;SCAN95.EXE;0;McAfee
McAfee VirusScan for Windows 95/98;Unknown;SCAN95.EXE;0;Network Associates
ScanDisc Application;5.2.0.91;Scandisc.exe;585728;Roxio
Softcraft Font Editor;Unknown;SCFE.EXE;0;Softcraft
Microsoft Schedule Plus for 95;Unknown;SCHDPL32.EXE;0;Microsoft Corp.
Schedule Plus 32 bits;Unknown;SCHDPL32.EXE;0;Microsoft Corp.
Microsoft Schedule+ for Windows 95 application fil;7.0;SCHDPL32.EXE;110592;Microsoft Corporation
Microsoft Schedule+ for Windows 95 application fil;7.5;SCHDPL32.EXE;192512;Microsoft Corporation
Microsoft Schedule;Unknown;SCHDPLUS.EXE;0;Microsoft Corp.
Schedule Plus;Unknown;SCHDPLUS.EXE;0;Microsoft Corp.
King's Quest IV;Unknown;SCIV.EXE;0;Sierra On-line
Smartcom;Unknown;SCOM.EXE;0;Hayes
Smartcom III;Unknown;SCOM3.EXE;0;Hayes
Swiftcalc PC;Unknown;SCPROG.EXE;0;Timeworks
Scrapbook+;Unknown;SCRPBOOK.EXE;0;T/maker Company
Surf Control;Unknown;ScUserAgent.exe;0;SurfControl
SuperCalc/Win;Unknown;SCW.EXE;0;Computer Associates
Sure Delete File;Unknown;SD_File.exe;0;Wizard Industries LLC
Sure Delete File;5.00.0007;SD_File.exe;221184;Wizard Industries LLC
SDSK;Unknown;sdsk.exe;0;SDSK
SedCAD;Unknown;sedcad4.exe;0;Seagate Software
OpenOffice.org 1.1;6.00.8600;setup.exe;241730;OpenOffice
OpenOffice.org 1.1b2;6.00.8600;setup.exe;241730;OpenOffice
Express Art/300;Unknown;SETUPART.EXE;0;Power Up Software
Express Publisher;Unknown;SETUPEP.EXE;0;Power Up Software
Scheduling Employees 97;Unknown;sew.exe;0;Guia International
Scheduling Employees 2000;Unknown;sew32.exe;0;Guia International
AutoShade;Unknown;shade386.exe;0;AutoDesk
WorldShip;5.0;shipups.exe;0;UPS ONLINE
VirusScan for Windows NT;Unknown;SHSTAT.EXE;0;McAfee
McAfee VirusScan for Windows NT;Unknown;SHSTAT.EXE;0;Network Associates
Shufflepuck Cafe;Unknown;SHUFFLE.COM;0;Broderbund Software
Executable (GUI);Unknown;ShutDownPro.exe;0;ShutDownPro
Executable (GUI);1.1.1.7;ShutDownPro.exe;133632;ShutDownPro
SideACT;Unknown;SideACT.exe;0;Interact Commerce Corporation
SideACT;5.0.2.353;SideACT.exe;225336;Interact Commerce Corporation
SideACT Application;5.0.2.353;SideACT.exe;225336;Interact Commerce Corporation
Sidekick;Unknown;SIDEKICK.COM;0;Starfish
Sideways;Unknown;SIDEWAYS.COM;0;Funk Software
Sideways;Unknown;SIDEWAYS.EXE;0;Funk Software
Biz Base Silver;Unknown;SILVER.EXE;0;Creagh Computer Systems
SimAnt/Windows;Unknown;SIMANTW.EXE;0;Maxis
Sim City;Unknown;SIMCITY.EXE;0;Maxis
SimEarth;Unknown;SIMEARTH.EXE;0;Maxis
SimFarm;Unknown;SIMFARM.EXE;0;Maxis
SimLife;Unknown;SIMLIFE.EXE;0;Maxis
Sitelock;Unknown;SITELOCK.EXE;0;McAfee
SiteMeter;Unknown;SITEMETR.EXE;0;McAfee
AutoSketch;Unknown;sketch.exe;0;AutoDesk
Sidekick Plus;Unknown;SKPLUS.EXE;0;Borland/Inprise
SlowView;Unknown;SlowView.exe;0;Freeware
SlowView;0.9.9;SlowView.exe;1347584;Freeware
SlowView.exe;0.9.9.3;SlowView.exe;1425408;(c) Raihan Kibria 1999
SlowView;0.9.9.5;SlowView.exe;1429504;Freeware
SlowView;0.9.8b;SlowView.exe;1683456;Freeware
Lotus SmartSuite;Unknown;SMARTCTR.EXE;0;IBM
Lotus SmartCenter;Unknown;smartctr.exe;0;Lotus Development
Lotus SmartSuite;Unknown;SMARTCTR.EXE;0;Lotus Development
Lotus SmartCenter Release 9.5®;Unknown;smartctr.exe;0;Lotus Development Corporation
Lotus SmartCenter 97 Edition for Windows 95®;97.0;smartctr.exe;163840;3Com
Lotus SmartCenter;97.0;smartctr.exe;163840;Lotus Development
Lotus SmartCenter;99.5;smartctr.exe;203776;Lotus Development
Lotus SmartCenter Release 9.5®;99.5;smartctr.exe;203776;Lotus Development Corporation
SmartFTP;Unknown;SmartFTP.exe;0;SmartFTP
Saber Menu;Unknown;SMESSAGE.EXE;0;McAfee
Smartmove;Unknown;SMOVE.EXE;0;Persoft
SnapGrafx;Unknown;SNAP.EXE;0;Micrografx
OpenOffice.org 1.1;6.00.8600;soffice.exe;389189;OpenOffice
Soft.clip;Unknown;SOFTCLIP.EXE;0;Softsystems
Soko-Ban;Unknown;SOKOBAN.EXE;0;Spectrum Holobyte
Microsoft Sort;Unknown;SORTM.EXE;0;Microsoft Corp.
Sort;Unknown;SORTM.EXE;0;Microsoft Corp.
Support on Site;Unknown;SOSAW.EXE;0;Computer Library
SPCS Administration;Unknown;spcsadm.exe;0;SPCS
SPCS Lön;Unknown;spcslow.exe;0;SPCS
Windows Spell;Unknown;SPELLDLL.EXE;0;Palantir
SPF/2 for OS/2;Unknown;SPF2.EXE;0;Command Technology Corp
SPF/2 for DOS;Unknown;SPF386.EXE;0;Command Technology Corp
Sprint;Unknown;SPFMT.EXE;0;Borland/Inprise
SPF/PC;Unknown;SPFPC.EXE;0;Command Technology Corp
Spider;2, 0, 0, 1;SPIDER.EXE;544768;Microsoft Corporation
SpinRite;Unknown;SPINRITE.COM;0;Gibson Research Corporation
SuperProject/OS2;Unknown;SPJOS2.EXE;0;Computer Associates
SuperProject/Win;Unknown;SPJWIN.EXE;0;Computer Associates
ServerProtect Win32-based service;Unknown;SpntSvc.exe;0;Trend
ServerProtect Win32-based service;Unknown;SpntSvc.exe;0;Trend Micro
Single Processing Program;Unknown;SPP.COM;0;Bv Engineering Software
SCAN Plus;Unknown;SPW-LITE.COM;0;Commcrypt
SQL Server Entreprise Manager;7.0 or +;SQL Server Enterprise Manager.MSC;0;Microsoft Corp.
SQLearn;Unknown;SQLEARN.EXE;0;Prolab Software
SQL Server Enterprise Manager;6.5 SP5;sqlew.exe;650752;Microsoft Corp.
SQL*Plus;Unknown;sqlplus.exe;0;Oracle
SQL*Plus;8.1.6;sqlplus.exe;481120;Oracle
SQLwindows;Unknown;SQLRUN.EXE;0;Gupta Technologies
SQL Server;Unknown;sqlservr.exe;0;Microsoft Corp.
SQL Server;6.5 SP5;sqlservr.exe;2555664;Microsoft Corp.
SQL Server;7.0;sqlservr.exe;4964624;Microsoft Corp.
SQL Server (MSDE);7.00.623;sqlservr.exe;4964624;Microsoft Corp.
SQL Server;7.0 SP3;sqlservr.exe;5046544;Microsoft Corp.
SQZ! Plus;Unknown;SQZ.EXE;0;Symantec Corp.
Microsoft SourceSafe;Unknown;SSEXP.EXE;0;Microsoft Corp.
SourceSafe;Unknown;SSEXP.EXE;0;Microsoft Corp.
Superstor;Unknown;SSTOR.EXE;0;Addstor
Smarterm 220;Unknown;ST220.EXE;0;Persoft
Smarterm 2392;Unknown;ST2392.EXE;0;Persoft
Smarterm 240;Unknown;ST240.EXE;0;Persoft
Smarterm 320;Unknown;ST320.EXE;0;Persoft
Smarterm 400;Unknown;ST400.EXE;0;Persoft
Smarterm 470;Unknown;ST470.EXE;0;Persoft
STAAD;Unknown;staadpro.exe;0;Research Engineers
Stacker;Unknown;STACKER.COM;0;Stac Electronics
Starcraft;Unknown;StarCraft.exe;0;Blizzard Entertainment
Star Trek The Rebel Universe;Unknown;STARTREK.EXE;0;Simon & Schuster
Across The Usa;Unknown;STATES.EXE;0;Stone & Associates
Science Toolkit;Unknown;STK.EXE;0;Broderbund Software
Stoat;Unknown;stoat32.exe;0;WRc Stoat
Software Update & Distribution System;Unknown;SUDS.EXE;0;Frye Computer Systems
Super PC-kwik;Unknown;SUPERPCK.COM;0;Multisoft Corporation
Fastpak Mail;Unknown;SUPRDUPE.EXE;0;Bloc Publishing
SureTrak;Unknown;Suretrak.exe;0;Primavera Systems
Sblive/Storyboard Plu;Unknown;SVAPISB.COM;0;IBM Corporation
Service Manager NT;Unknown;svcmgr.exe;0;NT Tools
Service Manager NT;1, 5, 0, 10;svcmgr.exe;552960;NT Tools
Swiftax IBM;Unknown;SWIFTAX.EXE;0;Timeworks
Session/xl;Unknown;SXL.EXE;0;Triton Technologies
Lotus Symphony;Unknown;SYMPHONY.EXE;0;Lotus Development
SYNCAPP;Unknown;Syncapp.exe;0;Symbian Ltd.
Avast32 iAvs client;Unknown;syncer.exe;0;Alwil Software
Avast32 iAvs client;3, 0, 293, 0001;syncer.exe;77824;Alwil Software
SynEdit;Unknown;SynEdit.exe;0;mkiDesign
Donor$;Unknown;SYS920.EXE;0;John Snow
Novell Netware;Unknown;SYSCON.EXE;0;Novell
Syzgy;Unknown;SYZ.EXE;0;Information Research Corp.
TabWorks;Unknown;TABWORKS.EXE;0;Compaq Computer
Tangenta;Unknown;tangenta.exe;0;Unknown
Tapcis;Unknown;TAPCIS.EXE;0;Support Group
Turbo Assembler;Unknown;TASM.EXE;0;Borland/Inprise
North & South;Unknown;TATOU.EXE;0;Data East
J.k. Lasser's Tax Advantage;Unknown;TAX.EXE;0;Simon & Schuster
Taxview;Unknown;TAXVIEW.EXE;0;Softview
Turbo C;Unknown;TCC.EXE;0;Borland/Inprise
TurboCAD(tm) for Windows Application;4.00.059;tcw40.exe;2307072;International Microcomputer Software, Inc.
Taxcut  Windows;Unknown;TCWIN.EXE;0;Meca Ventures
Turbo Debugger;Unknown;TDINST.EXE;0;Borland/Inprise
Terragen Scenery Generator;unknown;Terragen.exe;0;Planetside Software
Simcity Terrain Edition;Unknown;TERRAIN.EXE;0;Maxis
Falcon;Unknown;TFALCON.EXE;0;Spectrum Holobyte
Trimble Geomatics;Unknown;tgoffice.exe;0;Trimble Geomatics
The Playa;Unknown;theplaya.exe;0;DivX Networks
Thesarus;Unknown;THES.EXE;0;Spinnaker Software Corp.
Thinx;Unknown;THINX.EXE;0;Thinx Software
QuickCam First Frame Grabber;Unknown;ThumbSer.exe;0;Logitech Inc.
QuickCam First Frame Grabber;5.5.0.1069;ThumbSer.exe;163840;Logitech Inc.
Thunderblade;Unknown;THUNDER.EXE;0;International Development Group
Track-it!;Unknown;TI.EXE;0;Blue Ocean Software
Yahoo NewsTicker;Unknown;ticker.exe;0;Yahoo, Inc
Timeline;Unknown;TIMELINE.EXE;0;Symantec Corp.
Track-It! For Windows;Unknown;TIWIN.EXE;0;Blue Ocean Software
Dr. Solomon's Anti-virus;Unknown;TK_SCHED.EXE;0;Dr. Solomon's
Timeline For Windows;Unknown;TLW.EXE;0;Symantec Corp.
Perl Command Line Interpreter;5.003 Build 316;tmake.exe;426452;Trolltech
Teenage Mutant Ninja Turtles;Unknown;TMNTEGA.EXE;0;Konami
TNSPING;8.0.5;TNSPING.EXE;148480;oracle
ToolBook;Unknown;toolbook.exe;0;Asymetrix Corp.
ToPDF PostScript to PDF conversion utility;Unknown;ToPdf.exe;0;Jaws Systems Limited
ToPDF PostScript to PDF conversion utility;2, 00, 0, 787;ToPdf.exe;286720;Jaws Systems Limited
Total Commander 32 bit international version, file;5.50;TOTALCMD.EXE;0;Ghiesler
Turbo Profiler;Unknown;TPROF.EXE;0;Borland/Inprise
Temptation Client;2.0;tpta_cli.exe;2870400;Horo Quartz
Training Administrator;Unknown;TRAINADM.EXE;0;Gyrus Systems
Training Table;Unknown;TRAINTAB.EXE;0;H. Sys Co.
TrayPopup;Unknown;TRAYP.EXE;0;Cyco Software
TrayPopup for Windows 95;Unknown;TRAYP95.EXE;0;Cyco Software
TrayPopup 1.02;Unknown;TRAYP95.EXE;75776;Cyco Software
Treehouse;Unknown;TREEHSE.EXE;0;Broderbund Software
Truestat;Unknown;TRUESTAT.EXE;0;True Basic
Timeslips III;Unknown;TSTIMER.EXE;0;Timeslips Corporation
Turbotax Pro Series 1040;Unknown;TT1040.EXE;0;Chipsoft
Turbotax Pro Series 1065;Unknown;TT1065.EXE;0;Chipsoft
Turbotax Pro Series 1120-1120s;Unknown;TT1120.EXE;0;Chipsoft
Fixed Asset Manager;Unknown;TTASSET.EXE;0;Chipsoft
Turbotax Personal 1040;Unknown;TTAX.EXE;0;Chipsoft
Turning Compiler;Unknown;TTC.EXE;0;Holt Software Associates
Tera Term Pro;Unknown;ttermpro.exe;0;T. Teranishi
Tera Term Pro;Unknown;ttermpro.exe;0;Unknown
Tera Term Pro;2, 3, 0, 0;ttermpro.exe;251904;T. Teranishi
Client Organizer;Unknown;TTORG.EXE;0;Chipsoft
Time Trak;Unknown;TTRAK.EXE;0;Softsystems
Tera Term Pro SSH Extension;Unknown;ttssh.exe;0;Unknown
TubeConverter Application;Unknown;tubeconverter.exe;0;Jasc Software, Inc.
TubeConverter Application;2,0,0,0;tubeconverter.exe;638976;Jasc Software, Inc.
Turbo Pascal;Unknown;TURBO.EXE;0;Borland/Inprise
Turbo CAD;Unknown;TURBOCAD.COM;0;MSA Group
TurboCAD StartPage Application;1.02.0.0;turbocad.exe;565248;IMSI
Turing Interpreter;Unknown;TURING.EXE;0;Holt Software Associates
PCx Text;Unknown;TXSHOW.EXE;0;Genus Microprogramming
Teach Yourself Accounting;Unknown;TYEA1.EXE;0;Addison-wesley
Typecase;Unknown;TYPECASE.EXE;0;SWFTE International
Typewriter;Unknown;TYPEWRIT.EXE;0;Power Up Software
Typist;Unknown;typistw.exe;0;Caere Corp.
United Devices;Unknown;UD.exe;0;United Devices, Inc.
United Devices;Unknown;UD.exe;0;Unknown
United Devices;2.02.2706;UD.exe;443439;United Devices, Inc.
UltraEdit;Unknown;UEDIT.EXE;0;IDM Computer Solutions
UltraEdit-32;Unknown;UEDIT32.EXE;0;IDM Computer Solutions
UltraEdit-32 Professional Text/Hex Editor;Unknown;UEDIT32.EXE;0;IDM Computer Solutions, Inc.
UltraEdit-32 Professional;Unknown;UEDIT32.EXE;930816;IDM Computer Solutions
UltraEdit-32;7.10a.;UEDIT32.EXE;1241088;IDM Computer Solutions
UltraEdit-32 Professional Text/Hex Editor;8.10.b;UEDIT32.EXE;1306624;IDM Computer Solutions, Inc.
SiteServer Express;3.0;uimport.exe;2394112;Microsoft Corp.
UltraHLE - Ultra64 High Level Emulator;0.7.70;ULTRA.EXE;376832;Unknown
Undelete;Unknown;undelete.exe;0;Executive Software
Uninstaller;Unknown;UNI.EXE;0;CyberMedia
Unknown;Unknown;Unknown;0;Unknown
Microsoft Windows SDK;Unknown;USERSSDK.EXE;0;Microsoft Corp.
Windows SDK;Unknown;USERSSDK.EXE;0;Microsoft Corp.
Harvard Graphics Us Maps;Unknown;USMAP101.EXE;0;Software Publishing Corp.
MicroStation;J;ustation.exe;298624;Bentley
Tax Partner Direct;Unknown;UTSELF.EXE;0;Best Programs
Visual 20/20;Unknown;V2020.EXE;0;Computer Associates
Visual Basic;3.0;vb.exe;0;Microsoft Corp.
Visual Basic;4.0;vb32.exe;0;Microsoft Corp.
Visual Basic;5.0;vb5.exe;0;Microsoft Corp.
Visual Basic;6.0;vb6.exe;0;Microsoft Corp.
Visual Basic;6.0 SP3;vb6.exe;1880064;Microsoft Corp.
Visual Basic;6.0 SP5;vb6.exe;1880064;Microsoft Corp.
Visual Café;Unknown;vcafe.exe;0;Symantec Corp.
Visual Café;Unknown;vcafe.exe;0;Webgain
Visual Café;Professional Dev 2.0;vcafe.exe;1094172;Symantec Corp.
Visual Café;Professional 3.0;vcafe.exe;1808412;Symantec Corp.
Visual Café;Standard edition 4.1;vcafe.exe;2033692;Webgain
Vette!;Unknown;VETTE.EXE;0;Spectrum Holobyte
Microsoft Visual Foxpro;Unknown;VFP.EXE;0;Microsoft Corp.
Visual Foxpro;Unknown;VFP.EXE;0;Microsoft Corp.
Visual Interdev;Unknown;vidtc1.dll;0;Microsoft Corp.
Visual Interdev;6.0 SP3;vidtc1.dll;198664;Microsoft Corp.
Virucide;Unknown;VIRUCIDE.EXE;0;Parsons Technology
Visio;Unknown;VISIO.EXE;0;Microsoft Corp.
Visio 32;Unknown;VISIO32.EXE;0;Microsoft Corp.
Microsoft Visio 2000;6.0.0.2072;Visio32.exe;45056;Microsoft Corp.
Visio Standard Program;5.0;Visio32.EXE;61952;Visio
visiocom;;visiocom.exe;39936;STEF-TFE
Visio for MS Office;Unknown;VISIOMSO.EXE;0;Microsoft Corp.
PVCS Version Manager;Unknown;vjournal.exe;0;Intersolv
PVCS Version Manager;Unknown;vjournal.exe;0;Intersolv, Inc.
Microsoft Visual J++;Unknown;VJREMOVE.EXE;0;Microsoft Corp.
Visual J++;Unknown;VJREMOVE.EXE;0;Microsoft Corp.
vncviewer;Unknown;vncviewer.exe;0;AT&T Laboratories Cambridge
vncviewer;3.3.3.2;vncviewer.exe;176128;AT&T Laboratories Cambridge
vncviewer;3.3.3r2;vncviewer.exe;176128;AT&T Laboratories Cambridge
TightVNC Win32 Viewer;1, 2, 2, 0;vncviewer.exe;273408;Const Kaplinsky
vncviewer;1, 2, 2, 0;vncviewer.exe;273408;Const Kaplinsky
TightVNC Win32 Viewer;1, 2, 3, 0;vncviewer.exe;273920;Const Kaplinsky
ViaVoice;8.0.0.30;voicepad.exe;229376;IBM Corporation
Voloview Express;Unknown;voloview.exe;0;AutoDesk
VoptMe;Unknown;VoptMe.exe;0;Golden Bow Systems
VoptMe;6.2;VoptMe.exe;550400;Golden Bow Systems
Norton AntiVirus Corporate Edition;7.50.0.846;vpc32.exe;229376;Symantec Corp.
VPOP3;Unknown;vpop3.exe;0;Paul Smith Computers
VPOP3;1, 5, 0, 0;vpop3.exe;1700864;Paul Smith Computers
Xerox Ventura Publisher;Unknown;VPPROF.EXE;0;Xerox Desktop Software
Ventura Publisher for Windows;Unknown;VPWIN.EXE;0;Ventura Software
VShield for 95/98;Unknown;VSHWIN32.EXE;0;McAfee
McAfee VShield for 95/98;Unknown;VSHWIN32.EXE;0;Network Associates
VShield for 95/98;4.50.541;VSHWIN32.EXE;114705;McAfee
McAfee VShield for 95/98;450541;VSHWIN32.EXE;114705;Network Associates
VShield for 95/98;4.51;VSHWIN32.EXE;118801;McAfee
McAfee VShield for 95/98;451;VSHWIN32.EXE;118801;Network Associates
VShield;3.1.8;VSHWIN32.EXE;143360;McAfee
Mcafee Vshield;3.1.8;VSHWIN32.EXE;143360;Network Associates
VShield for 95/98;4.0.3;VSHWIN32.EXE;154129;McAfee
Mcaffee VShield for 95/98;4.0.3;VSHWIN32.EXE;154129;Network Associates
VShield for 95/98;4.0.30;VSHWIN32.EXE;156177;McAfee
McAfee VShield for 95/98;4030;VSHWIN32.EXE;156177;Network Associates
Ulead VideoStudio;5.0;vstudio.exe;1404928;Ulead Systems, Inc.
virtual tablet Interface;Unknown;vtmgr32.exe;0;Digitizer Technology
Vermont Views Designer;Unknown;VVD.EXE;0;Vermont Creative Software
Wincom 3151;Unknown;w3151_32.exe;0;Icom
Wincom 3151;4.3R1;w3151_32.exe;896000;Icom
Wincom 3270;Unknown;w3270_32.exe;0;Icom
Wincom 3270;4.3R1;w3270_32.exe;1005568;Icom
Wincom 3287;Unknown;w3287_32.exe;0;Icom
Wincom 3287;4.3R1;w3287_32.exe;672256;Icom
Wincom 7102;Unknown;w7102_32.exe;0;Icom
Wincom 7102;4.3R1;w7102_32.exe;922624;Icom
Wincom 7107;Unknown;w7107_32.exe;0;Icom
Wincom 7107;4.3R1;w7107_32.exe;959488;Icom
Wincom 7800;Unknown;w7800_32.exe;0;Icom
Wincom 7800;4.3R1;w7800_32.exe;919040;Icom
America Online;Unknown;WAOL.EXE;0;America Online (AOL)
America Online;4.0;WAOL.EXE;208896;America Online (AOL)
Word Attack Plus French;Unknown;WAPF.COM;0;Davidson & Associates
Word Attack Plus Spanish;Unknown;WAPS.COM;0;Davidson & Associates
YOURWAP.com Wireless Companion;Unknown;wapsim.exe;0;o3sis Information Technology AG
YOURWAP.com Wireless Companion;2, 0, 0, 0;wapsim.exe;1257472;o3sis Information Technology AG
Warcraft III;Unknown;Warcraft III.exe;0;Blizzard Entertainment
EpsonNet WinAssist;Unknown;Wassist.exe;0;Epson
Win Assist;Unknown;Wassist.exe;0;Epson
EpsonNet WinAssist;3, 2, 0, 0;Wassist.exe;794624;Epson
LOXANE WAY Pro 2001;5.0.1;WAYPRO.EXE;2970656;Loxane
Watcom C Compiler / 386;Unknown;WCC386.EXE;0;Watcom
Microsoft ActiveSync;3.5.0.12007;WCESMgr.exe;872535;Microsoft Corp.
WeatherBug;Unknown;weather.exe;0;American Weather Association
Web Cam RT;Unknown;WebCamRT.exe;0;Logitech Inc.
Web Cam RT;5.5.0.1069;WebCamRT.exe;122880;Logitech Inc.
WebFerret.exe;Unknown;WebFerret.exe;0;FerretSoft
WebFerret.exe;Unknown;WebFerret.exe;1177096;FerretSoft
Webshots Desktop Tray Application;1.3.0.3613;WebshotsTray.exe;196608;The Webshots Corporation
Drain Analysis;Unknown;well&pit.exe;0;Mowen
Citrix ICA Client;Unknown;wfcmove.exe;0;Citrix Systems, Inc
Citrix ICA Client;6.31.1051.0;wfcmoven.exe;33040;Citrix Systems, Inc
S+S Virus Toolkit/Win;Unknown;WFINDVIR.EXE;0;S+S International
Wfnboss;Unknown;WFNBOSS.EXE;0;Corel Corp.
Wordfinder Plus;Unknown;WFPLUS.EXE;0;Microlytics
SimEarth/Windows;Unknown;WGAIA.EXE;0;Maxis
Whistle Stop;Unknown;WHISTLE1.EXE;0;Stone & Associates
Widespread;Unknown;WIDE.EXE;0;Power Up Software
Wildcat! BBS;Unknown;WILDCAT.EXE;0;Mustang Software
WinAce Archiver;Unknown;winace.exe;0;e-merge GmbH
WinAce Archiver;2.1.1.0;winace.exe;883200;e-merge GmbH
winamp;Unknown;winamp.exe;0;NULLSOFT
winamp;3b3;winamp.exe;653312;NULLSOFT
Winamp;2.6;winamp.exe;856064;NULLSOFT
pcAnywhere for Windows;Unknown;WINAW.EXE;0;Symantec Corp.
pcAnywhere;unknown;WINAW32.EXE;0;Symantec Corp.
pcANYWHERE32 Main Program;unknown;WINAW32.EXE;0;Symantec Corp.
pcAnywhere Main Program;10.0.0.354;winaw32.exe;491575;Symantec Corp.
pcAnywhere;9.2.0.239;WINAW32.EXE;520247;Symantec Corp.
pcAnywhere;7.5;WINAW32.EXE;536576;Symantec Corp.
pcAnywhere;8.0;WINAW32.EXE;664576;Symantec Corp.
pcAnywhere;8.02;WINAW32.EXE;669696;Symantec Corp.
pcANYWHERE32 Main Program;8.02;WINAW32.EXE;669696;Symantec Corp.
WinBatch;Unknown;WINBATCH.EXE;0;Wilson WindowWare
Compuserve Info Mgr For Windows;Unknown;WINCIM.EXE;0;Compuserve
Windows Commander;Unknown;wincmd32.exe;0;Ghiesler
WinComm;Unknown;WINCOMM.EXE;0;Delrina Technology
WinCVS CVS Client for Windows;Unknown;wincvs.exe;0;Unknown
Windows 2000 Advanced Server;5.0;Windows2000asrv.exe;0;Microsoft Corp.
Windows 2000 DataCenter Server;5.0;windows2000datacenter.exe;0;Microsoft Corp.
Windows 2000 Professional;5.0;Windows2000pro.exe;0;Microsoft Corp.
Windows 2000 Server;5.0;Windows2000srv.exe;0;Microsoft Corp.
Windows 2003 DataCenter Server;6.0;windows2003datacenter.exe;0;Microsoft Corp.
Windows 2003 Enterprise Server;6.0;windows2003enterprise;0;Microsoft Corp.
Windows 2003 Server;6.0;windows2003server.exe;0;Microsoft Corp.
Windows 95;4.0;Windows95.exe;0;Microsoft Corp.
Windows 98;4.10;Windows98.exe;0;Microsoft Corp.
Windows 98 SE;4.10;Windows98SE.exe;0;Microsoft Corp.
Windows ME;4.90;WindowsME.exe;0;Microsoft Corp.
Windows ME;Unknown;WindowsME.exe;0;Microsoft Corp.
Windows NT Enterprise Server;4.0;WindowsNTesrv.exe;0;Microsoft Corp.
