56;Acrobat Reader;Unknown;ACROREAD.EXE;0;Adobe
58;Arcobat Reader;3.0.000;ACROREAD.EXE;2318848;Adobe
609;PRF Generator for AutoCAD;2000;acsubmit.exe;159744;eQuorum
610;PRF Generator for AutoCAD;2002;acsubmit.exe;207266;eQuorum
410;Access Guard;Unknown;ACS_MAT.COM;0;Commcrypt
849;Act!;Unknown;ACT.EXE;0;Interact Commerce Corporation
853;ACT! 5.0 Application;Unknown;act.exe;0;Interact Commerce Corporation
2030;Act!;Unknown;ACT.EXE;0;Symantec Corp.
846;Act!;4.0.2.358;ACT.EXE;3247616;Interact Commerce Corporation
2029;Act!;4.0.2.358;ACT.EXE;3247616;Symantec Corp.
847;ACT!;5.0.2.353;act.exe;5275693;Interact Commerce Corporation
851;ACT! 5.0 Application;5.0.2.353;act.exe;5275693;Interact Commerce Corporation
848;ACT!;5.0.4.495;act.exe;5509165;Interact Commerce Corporation
852;ACT! 5.0 Application;5.0.4.495;act.exe;5509165;Interact Commerce Corporation
850;ACT! 2000 Data Diagnostic Tool v5.0.2.;5.00.2000;actdiag.exe;716800;Interact Commerce Corporation
1397;SideWinder Profile Activator;3.02.391;Activator.exe;72704;Microsoft
2274;Actor;Unknown;ACTOR.EXE;0;Whitewater Group
854;Act! For Windows;Unknown;ACTWIN.EXE;0;Interact Commerce Corporation
2028;Act For Windows;Unknown;ACTWIN.EXE;0;Symantec Corp.
940;Ad-aware;Unknown;Ad-aware.exe;0;LavaSoft
938;Ad-aware;5.0.6.20;Ad-aware.exe;337408;LavaSoft
939;Ad-aware;6.0.1.181;Ad-aware.exe;684544;LavaSoft
238;After Dark;Unknown;AD.EXE;0;Berkely Systems
1019;Advanced DB Master;Unknown;ADBM.EXE;0;Macon Systems
1020;Advanced DB Master 4;Unknown;ADBM4.EXE;0;Macon Systems
74;ADP PC/PAYROLL FOR WINDOWS;2.52 SQL;ADPPAYROLL.EXE;0;ADP
201;Architectual Desktop;3.3;adt.arg;4934;AutoDesk
1184;Personal Organizer;Unknown;ADVANTAG.EXE;0;Microlytics
239;AfterDark for Windows 3.0;Unknown;ADW30.EXE;0;Berkely Systems
930;ADW Cnstrctn Worksta;Unknown;ADWAWS.EXE;0;Knowledgeware
214;Cad Overlay;2002;AeciQuickBarUi22.arx;45056;AutoDesk
401;Allclear;Unknown;AEDIT.EXE;0;Clear Software
208;AutoFlix;Unknown;afega.exe;0;AutoDesk
213;CA Lab;Unknown;afegap.exe;0;AutoDesk
967;Lotus Agenda;Unknown;AGENDA.EXE;0;Lotus Development
548;Agent for Windows;Unknown;agent.exe;0;Dazler Software Inc.
547;Agent for Windows;1.9;agent.exe;2850336;Dazler Software Inc.
645;Agent for Windows;1.93;agent.exe;2917408;Forte Internet Software Inc.
1888;Leisure Suit Larry;Unknown;AGI.EXE;0;Sierra On-line
2000;Atlas GIS/Win;Unknown;AGISW.EXE;0;Strategic Mapping
128;AIA;Unknown;aia97.exe;0;American Institute Of Architects
59;Illustrator;Unknown;aicon.exe;0;Adobe
125;AOL Instant Messenger (SM);Unknown;aim.exe;0;America Online
124;AOL Instant Messenger (SM);5.2.3292;aim.exe;61440;America Online
123;AOL Instant Messenger (SM);3.0.1470;aim.exe;9728;America Online
420;Spry Mosaic WWW Browser;Unknown;AIRMOS.EXE;0;Compuserve
89;Albacs;Unknown;ALBACS.EXE;0;Albany Software
90;ALBACS.EXE;Unknown;ALBACS.EXE;1229280;Albany Software
497;Album Generator;1.54.0.0;albumgen.exe;147456;Creative Technology Ltd
2118;Investor Returns Rater;Unknown;ALCARIRR.EXE;0;The Alcar Group
2119;The Merger Planner;Unknown;ALCARTMP.EXE;0;The Alcar Group
2120;The Strategy Planner;Unknown;ALCARTSP.EXE;0;The Alcar Group
2121;The Value Planner;Unknown;ALCARTVP.EXE;0;The Alcar Group
413;Alchemy Server Data Collector;2.2.0.17;AlchemyDLLServer.exe;1035776;CommSoft Group Ltd.
2191;Algebra;Unknown;ALGEBRA.EXE;0;True Basic
968;Lotus Ami;Unknown;AMI.EXE;0;Lotus Development
969;Lotus Amipro;Unknown;AMIPRO.EXE;0;Lotus Development
2206;Amplayer.exe;Unknown;Amplayer.exe;47104;Unknown
103;Alliance Mfg;v2.x;AMSMFG.EXE;0;Alliance Manufacturing
665;APPMeter;Unknown;AMSUPER.EXE;0;Funk Software
649;Analyzer Applicazione MFC;1, 0, 0, 1;Analyzer.exe;1335296;Freeware
650;Analyzer Applicazione MFC;1.0.0.1;Analyzer.exe;917504;Freeware
903;Animation Shop;Unknown;anim.exe;0;Jasc Software, Inc.
902;Animation Shop;3.04 Release;anim.exe;3072000;Jasc Software, Inc.
127;Virus Killer;Unknown;ANSAT.EXE;0;American Ansat
579;PCanywhere;Unknown;ANYWHERE.EXE;0;Dynamic Microprocessor Association
126;AOLSETUP.EXE;Unknown;AOLSETUP.EXE;0;America Online
266;Applause;Unknown;ap.exe;0;Borland/Inprise
1990;Algebra Plus;Unknown;AP2A.EXE;0;Stone & Associates
134;Apache;Unknown;Apache.exe;0;Apache Group
133;Apache;1.3.24;apache.exe;20480;Apache
972;Lotus Approach;Unknown;APPROACH.EXE;0;Lotus Development
1008;Lotus Approach Application;Unknown;approach.exe;0;Lotus Development Corporation
971;Lotus Approach;N9.5.9904.2802;approach.exe;2889216;Lotus Development
1007;Lotus Approach Application;N9.5.9904.2802;approach.exe;2889216;Lotus Development Corporation
970;Lotus Approach;97.00;approach.exe;3785728;Lotus Development
1003;Approach(TM) for Windows(TM) executable\0;97.00;approach.exe;3785728;Lotus Development Corporation
704;Arclist;Unknown;ARCLIST.EXE;0;Group 1 Software
370;ARCserve Mgr/Server;Unknown;ARCSERVE.EXE;0;Cheyenne Software
422;ARCserve Server;Unknown;arcserve.exe;0;Computer Associates
371;ARCserve Solo;Unknown;ARCSOLO.EXE;0;Cheyenne Software
423;ARCserve Solo;Unknown;arcsolo.exe;0;Computer Associates
1819;Advanced Revelation;Unknown;AREV.EXE;0;Revelation Technologies
164;Argyle;Unknown;ARGLINK.EXE;0;Articulate Publications
2193;Arithmetic;Unknown;ARITH.EXE;0;True Basic
308;Arkanoid;Unknown;ARKANOID.COM;0;Broderbund Software
216;Automap;Unknown;ARPRXB24.EXE;0;AutoMap
1563;AutoRoute Plus/Win;Unknown;ARPW.EXE;0;NextBase
1817;Accelerated reader;6.12;ARStu32.exe;2973696;Renaissance Learning
1816;Accelerated reader;6.12;ArStu32.exe;335;Renaissance Learning
648;Ascend;4.0;ascend.exe;0;Franklin Quest
576;Ascom IV;Unknown;ASCOM4.EXE;0;Dynamic Microprocessor Association
1781;Asmflow;Unknown;ASMFLOW.EXE;0;Quantasm Corporation
421;Arcserve Manager;;Asmgr.exe;720896;Computer Associates
2243;Asmtool;Unknown;ASMTOOL.EXE;0;V Communications
537;Procomm Plus Windows;Unknown;ASPCOMPW.EXE;0;Datastorm Technologies
1179;Picture Publisher Plus;Unknown;ASTRAL.EXE;0;Micrografx
714;Athletes Edge;Unknown;ATHEDGE.EXE;0;H. Sys Co.
73;Type Manager;Unknown;atmcntrl.exe;0;Adobe
161;Arc Tangent Prof.;Unknown;ATPM.EXE;0;Arc Tangent Software
171;ASUS Tweak Safe Mode Recovery Program;0;atsafe.exe;0;ASUSTeK Computer Inc.
172;ASUS Tweak Safe Mode Recovery Program;Unknown;atsafe.exe;0;ASUSTeK Computer Inc.
4;ASUS Tweak Startup Program;2.00;atstart.exe;49152;3Com
173;ASUS Tweak Startup Program;2.00;atstart.exe;49152;ASUSTeK Computer Inc.
18;Accuterm 2K2;5.00;atwin2k2.exe;1642547;AccusSoft Enterprises
2031;Automatic LiveUpdate Module;1.62.17.0;AUPDATE.EXE;172032;Symantec Corp.
1021;Authorware 5;Unknown;Authorware 5.exe;0;Macromedia
1022;Authorware 6;Unknown;Authorware 6.exe;0;Macromedia
1023;Authorware 6.1;Unknown;Authorware 61.exe;0;Macromedia
1024;Authorware 7;Unknown;Authorware 7.exe;0;Macromedia
734;AutoIt;2, 61, 0, 0;AutoIt.exe;40968;Hiddensoft
1111;Automenu;Unknown;AUTOMENU.COM;0;Magee
1215;AutoRoute;Unknown;AutoRout.exe;0;Microsoft
1218;AutoRoute Executable;Unknown;AutoRout.exe;0;Microsoft
1213;AutoRoute;08.00.15.1001;AutoRout.exe;2580534;Microsoft
1216;AutoRoute Executable;08.00.15.1001;AutoRout.exe;2580534;Microsoft
1214;AutoRoute;09.00.15.3100;AutoRout.exe;3866684;Microsoft
1217;AutoRoute Executable;09.00.15.3100;AutoRout.exe;3866684;Microsoft
1219;AutoRoute Express Europe 98;06.00.07.1600;AutoRoute Express EUR 98.exe;16896;Microsoft
1220;AutoRoute Express Great Britain 2000;07.00.23.1201;AutoRoute Express GB 2000.exe;28672;Microsoft
217;AutoTurn;3;AUTOTURN.EXE;0;AutoMap
218;AutoTurn;4;AUTOTURN4.dll;0;AutoMap
115;Avast32 Main Executable;Unknown;avast32.exe;0;Alwil Software
227;Avast32 Antivirus Client;Unknown;avast32.exe;0;AWIL Software
114;Avast32 Main Executable;3, 0, 419, 6;avast32.exe;24576;Alwil Software
1141;VirusScan 3.1.8;Unknown;AVCONSOLE.EXE;135168;McAfee
1555;Virus Scan 3.1.8;Unknown;AVCONSOLE.EXE;135168;Network Associates
226;Avery Wizard;Unknown;averywiz.exe;0;Avery Dennison
225;Avery Wizard;180.110.0014;AVERYWIZ.EXE;774144;Avery Dennison
111;Avast32 e-Mail Scanner Service;Unknown;avmaisrv.exe;0;Alwil Software
229;Avast32 e-Mail Antivirus Service;Unknown;avmaisrv.exe;0;AWIL Software
110;Avast32 e-Mail Scanner Service;3, 0, 419, 6;avmaisrv.exe;167936;Alwil Software
922;KAV Scanner main module;Unknown;Avp32.exe;0;Kaspersky Labs.
921;KAV Scanner main module;3.6.1.25;Avp32.exe;356416;Kaspersky Labs.
117;Avast32 Server;Unknown;avserver.exe;0;Alwil Software
228;Avast32 Antivirus Server;Unknown;avserver.exe;0;AWIL Software
116;Avast32 Server;3, 0, 419, 6;avserver.exe;245760;Alwil Software
2033;Gateway Module;Unknown;AWGATE.EXE;0;Symantec Corp.
2032;Gateway Module;8.0;AWGATE.EXE;97792;Symantec Corp.
2070;pcAnywhere Host;Unknown;AWHOST.EXE;0;Symantec Corp.
2069;pcAnywhere Host;Unknown;AWHOST32.EXE;0;Symantec Corp.
2067;pcAnywhere Host;11.0.1.764;awhost32.exe;106496;Symantec Corp.
2068;pcAnywhere Host;7.50;AWHOST32.EXE;109056;Symantec Corp.
107;Alpha Works;Unknown;AWORKS.EXE;0;Alpha Software
2076;pcAnywhere Remote Networking Module;Unknown;AWRAS32.EXE;0;Symantec Corp.
2077;pcAnywhere Remote Networking Module;Unknown;AWRAS32.EXE;0;Symantec Corp.
2075;pcAnywhere Remote Networking Module;7.50;AWRAS32.EXE;46592;Symantec Corp.
2074;pcAnywhere Remote Control Module;Unknown;AWREM32.EXE;0;Symantec Corp.
2072;pcAnywhere Remote Control Module;11.0.0.730;awrem32.exe;114688;Symantec Corp.
2073;pcAnywhere Remote Control Module;8.02;AWREM32.EXE;77824;Symantec Corp.
2071;pcAnywhere Remote;Unknown;AWREMOTE.EXE;0;Symantec Corp.
14;Above X;Unknown;AXUIDOS.EXE;0;Above Software
2113;BAR-ONE 6.0 application file;6.00.00;B1Print.exe;20480;Teklynx International Co.
672;Backit;Unknown;BACKIT.EXE;0;Gazelle Systems
363;just!burn;3, 0, 0, 64;backmeup.exe;1015808;CeQuadrat
1847;Payrite for Windows - BACSTEL;1997.01r01;bacs.exe;838240;Rutherford Webb plc
230;Baler Spreadsheet Compiler;Unknown;BALE.EXE;0;Baler Software
1726;Banner Builder;Unknown;BANNER.EXE;0;Power Up Software
1877;BarTender;Unknown;Bartend.EXE;0;Seagull Scientific, Inc
1876;BarTender;6.12.544.96;Bartend.EXE;2932736;Seagull Scientific, Inc
1878;BarTender Enterprise Edition;6.20.778.142;Bartend.EXE;3383296;Seagull Scientific, Inc
1228;Business Basic Compiler;Unknown;BASCOM.COM;0;Microsoft
2112;Application MFC CsBatcher;1, 0, 0, 1;Batcher.exe;49152;Teklynx International Co.
1662;GUI based batch file creator;0;Batchrun.exe;0;Outer Technologies
1225;Basic Compiler;Unknown;BC61.LIB;0;Microsoft
265;BoiseCascade Calc;Unknown;bccalc.exe;0;Boise Cascade
1610;Bounds Checker for Windows;Unknown;BCHKW.EXE;0;Nu-Mega Technologies
269;Borland Database Engine Admin;Unknown;bdeadmin.exe;0;Borland/Inprise
267;Borland Database Engine Admin;4.0.1.16;BDEADMIN.EXE;920520;Borland/Inprise
268;Borland Database Engine Admin;5.1.1.1;bdeadmin.exe;989176;Borland/Inprise
271;Database Engine;5.0;Bdeadmin.exe;994816;Borland/Inprise
234;Bedford Accounting;Unknown;BEDFORD.EXE;0;Bedford Software
1688;Super PC-Kwik;Unknown;BENCHPCK.EXE;0;PC-Kwik
723;Colorado Backup II;Unknown;bewin32.exe;0;Hewlett Packard
1862;Beyond Compare for Windows;1.9.4.0;Beyond32.exe;1012736;Scooter Software
881;Quicken For Windows;Unknown;BILLMIND.EXE;0;Intuit
867;BIND DNS Server Administration;Unknown;BINDCtrl.exe;0;Internet Software Consortium
2135;BindView;Unknown;BINDVIEW.EXE;0;The LAN Support Group
458;CBM Binlabel;Unknown;binlabel.bat;0;Cooper Building Materials
2244;Bios Pre-processor;Unknown;BIOSP.EXE;0;V Communications
1621;Biosw95;Unknown;Biosw95.exe;26224;OCSInventory
605;BioWin;Unknown;biowinnt.exe;0;EnviroSim Associates
197;BitCom for Windows;Unknown;BITCOM.EXE;0;ATR
494;Biz Base;Unknown;BIZBASE.EXE;0;Creagh Computer Systems
9;Beacher Tools;Unknown;BKTOOLS.EXE;0;Abacus
2250;BackupExec;Unknown;bkupexec.exe;0;VERITAS Software Corporation
2249;BackupExec;8.6 rev 3878;bkupexec.exe;4427318;VERITAS Software Corporation
1986;Druckprogramm für Barcode-Labels;Unknown;BLabel.exe;0;Stephan Geg, Birkach 4c, 85664 Hohenlinden
1985;Druckprogramm für Barcode-Labels;1.00.0001;BLabel.exe;65536;Stephan Geg, Birkach 4c, 85664 Hohenlinden
735;BLabel RegistryEintrag;0;BLabelReg.exe;0;Hiddensoft
211;Building Electrical;2;BldElec.arg;2460;AutoDesk
212;Building Mechanical;2;BldMech.arg;2088;AutoDesk
252;Blinker;Unknown;BLINKER.EXE;0;Blink
1506;My Phonebook;Unknown;BOOK.EXE;0;My Software
621;Bridge;Unknown;BRIDGE.COM;0;Fifth Generation Systems
1676;Bringback;Unknown;BRINGBAK.EXE;0;Parsons Technology
309;Bank Street Writer Plus;Unknown;BSW.EXE;0;Broderbund Software
1587;Btrieve;Unknown;BTRIEVE.EXE;0;Novell
2167;Battery Watch;Unknown;BW.COM;0;Traveling Software
2149;Beyond Word Writer;Unknown;BWORD.EXE;0;Timeworks
1231;C Compiler;Unknown;C1L.EXE;0;Microsoft
639;Drafix Windows Cad;Unknown;CAD.EXE;0;Foresight Resources Corp.
336;CADKEY;Unknown;CADKEY.EXE;0;Cadkey
2314;Design Editor Loader;4.5;cadstar.exe;11264;Zuken
640;Drafix Windows CAD;Unknown;CAF.EXE;0;Foresight Resources Corp.
428;Cricket Image;Unknown;CAIMAGE.EXE;0;Computer Associates
561;Canvas;7.0.1 Build 362;canvas7.exe;5771264;Deneba
429;Cricket Paint;Unknown;CAPAINT.EXE;0;Computer Associates
1571;Container;2.00.046;CardPhone2.0.exe;750592;Nokia Mobile Phones Ltd.
426;CA-RET;Unknown;CARET.EXE;0;Computer Associates
324;Where In Europe Is Carmen Sandiego;Unknown;CARMEN.EXE;0;Broderbund Software
1564;nFX Cartoon-O-Matic (TM);2, 0, 0, 1;CARTOON.EXE;750080;nFX Corporation
1016;Cashbiz;Unknown;CASHBIZ.EXE;0;M USA Business Systems
695;Up Your Cashflow;Unknown;CASHFLOW.EXE;0;Granville Software
325;Cashtrac;Unknown;CASHTRAC.EXE;0;Brown Bag Software
425;CA Simply Money 2.0;Unknown;CASM2RUN.EXE;0;Computer Associates
424;CA Simply Money;Unknown;CASMMAIN.EXE;0;Computer Associates
442;Visual Realia;Unknown;CAVR.EXE;0;Computer Associates
441;Visual Express;Unknown;CAVXPRSS.EXE;0;Computer Associates
433;Realia II Workbench;Unknown;CAWBMAIN.EXE;0;Computer Associates
1317;Netmeeting Chat;Unknown;cb32.exe;0;Microsoft
1316;NetMeeting Chat;4.4.3400;cb32.exe;12288;Microsoft
1314;NetMeeting Chat;4.4.3385;cb32.exe;4368;Microsoft
1315;NetMeeting Chat;4.4.3385;cb32.exe;4880;Microsoft
1503;My Checkbook;Unknown;CBOOK.EXE;0;My Software
772;IBM(R) DB2(R);Unknown;cc390ve.exe;0;IBM Corporation
861;IBM(R) DB2(R);0;cc390ve.exe;0;International Business Machines Corporation
753;Lotus cc:Mail Mobile;Unknown;CCBKGRND.EXE;0;IBM
975;Lotus cc:Mail Mobile;Unknown;CCBKGRND.EXE;0;Lotus Development
2245;C-clearly;Unknown;CCL.EXE;0;V Communications
751;Lotus cc:Mail;Unknown;CCMAIL.EXE;0;IBM
973;Lotus cc:Mail;Unknown;CCMAIL.EXE;0;Lotus Development
1599;WP Office CCMail Gtwy;Unknown;CCML.EXE;0;Novell Apps Group
1727;Calendar Creator Plus;Unknown;CCPLUS.EXE;0;Power Up Software
567;Concurrent DOS;Unknown;CCPM.SYS;0;Digital Research
1162;Carbon Copy/Windows;Unknown;CCWIN.EXE;0;Microcom
1832;CD Copier;Unknown;CdCopier.exe;0;Roxio
1831;CD Copier;5.3.4.21;CDCopier.exe;110679;Roxio
1829;CD Copier;4.05 (409);CdCopier.exe;94301;Roxio
1830;CD Copier;5.2.0.61;CDCopier.exe;98391;Roxio
1834;CD-RW Eraser;Unknown;CDEraser.exe;0;Roxio
1833;CD-RW Eraser;2.5d (296);CDEraser.exe;50688;Roxio
709;Choreographer;Unknown;CDEV.EXE;0;Guidance Technologies
818;dBpowerAMP Music Converter - Audio CD Input;Unknown;CDGrab.exe;0;Illustrate
817;dBpowerAMP Music Converter - Audio CD Input;4.2.1.0;CDGrab.exe;270437;Illustrate
77;CDSpeed MFC Application;0, 8, 5, 0;CDSpeed.exe;458752;Ahead Software
933;Castlevania;Unknown;CEGA.EXE;0;Konami
72;Streamline;Unknown;cent&out.dir;0;Adobe
1979;cent;4.21;cent.exe;37888;STEF-TFE
416;User Application Configuration Program;2.2.0.37;Central.exe;2925568;CommSoft Group Ltd.
1605;Security Config Wizard for NT;Unknown;CfgWiz.exe;0;NT Tools
1396;SharePoint and FrontPage Server Administrator;10.0.6308;CFGWIZ.EXE;105016;Microsoft
1395;SharePoint and FrontPage Server Administrator;10.0.4205;CFGWIZ.EXE;105032;Microsoft
1277;FrontPage Server Administration Snapin;4.0.2.7523;cfgwiz.exe;188480;Microsoft
1604;Security Config Wizard for NT;2, 0, 1, 20;CfgWiz.exe;676864;NT Tools
2231;Security Config Wizard for NT;2, 0, 1, 20;CfgWiz.exe;676864;Unknown
1026;ColdFusion Server MX;Unknown;cfperfman_mx.dll;0;Macromedia
1025;ColdFusion 5 and earlier;Unknown;cfserver.exe;0;Macromedia
1027;ColdFusion Studio 4;Unknown;cfstudio4.exe;0;Macromedia
1028;ColdFusion Studio 4.5;Unknown;cfstudio45.exe;0;Macromedia
1029;ColdFusion Studio 5;Unknown;cfstudio5.exe;0;Macromedia
320;Skychase;Unknown;CGACHASE.EXE;0;Broderbund Software
1961;Atlas Explorer;Unknown;CGARWN.COM;0;Spinnaker Software Corp.
947;Correct Grammar;Unknown;CGRAMMAR.EXE;0;Lifetree Software
577;Chairman;Unknown;CHAIRMAN.EXE;0;Dynamic Microprocessor Association
1166;Charisma;Unknown;CHARISMA.EXE;0;Micrografx
1167;Charisma 4.0;Unknown;CHARM40.EXE;0;Micrografx
1232;Chart;Unknown;CHART.COM;0;Microsoft
362;CHECK MFC Application;2, 2, 0, 6;check.exe;534016;CeQuadrat
918;Ckeckcite;Unknown;CHECKCIT.EXE;0;Jurisoft
2164;Check-It!;Unknown;CHECKIT.EXE;0;Touchstone
2165;Check-It! LAN;Unknown;CHECKLAN.EXE;0;Touchstone
2207;Cheops Pyramid;Unknown;cheops.exe;0;Unknown
2194;Chipendale;Unknown;CHIP1.EXE;0;True Basic
345;Checks & Balances;Unknown;CHKS&BAL.CNF;0;CDE Software
418;Compuserve Info Mgr;Unknown;CIM.EXE;0;Compuserve
388;CIPP;Unknown;cipp.exe;0;CIPP
2199;CIS;Unknown;cis.bat;0;True Value
917;Citerite;Unknown;CITERITE.EXE;0;Jurisoft
1424;Visual C++;Unknown;cl.exe;0;Microsoft
1422;Visual C++;6.0 SP3;cl.exe;51200;Microsoft
1423;Visual C++;6.0 SP5;cl.exe;65536;Microsoft
1421;Visual C++;1.52;cl.exe;91648;Microsoft
830;Clan2000;4.0.0.3;Clan2000.exe;7048704;Initial City Link
396;Professional Developer;Unknown;clarion.exe;0;Clarion
1139;Virus Fix Utility;Unknown;CLEAN.EXE;0;McAfee
1553;Virus Fix Utility;Unknown;CLEAN.EXE;0;Network Associates
402;ClickNet;Unknown;CLICKNET.EXE;0;ClickNet
427;Clipper;Unknown;CLIPPER.EXE;0;Computer Associates
599;CloneCD;Unknown;CloneCD.exe;0;Elaborate Bytes
598;CloneCD;3.3.4.1;CloneCD.exe;430080;Elaborate Bytes
600;CloneCD Replicator Program;3.3.4.1;CloneCD.exe;430080;Elaborate Bytes
597;CloneCD;2, 8, 4, 3;CloneCD.exe;75782;Elaborate Bytes
1189;Clout;Unknown;CLOUT.EXE;0;Microrim
398;ClarisWorks/Win;Unknown;CLWORKS.EXE;0;Claris Corporation
346;Calendarmaker;Unknown;CMAKER.EXE;0;CE Software
2277;Command Post;Unknown;CMDPOST.EXE;0;Wilson WindowWare
1880;Commander;Unknown;Cmdr.exe;0;Seagull Scientific, Inc
1879;Commander;2.00.108;Cmdr.exe;172032;Seagull Scientific, Inc
404;Colin McRae Rally 2;Unknown;CMR2.exe;0;Codemasters Software Ltd
403;CNE Quiz;Unknown;CNEQUIZR.EXE;0;CNE Quiz
